uid,發布單位Publisher,關鍵字Keywords,表現型Phenotype,涵蓋範圍Coverage$區域空間Spatial,涵蓋範圍Coverage$物理樣本Physical_sample_availability,涵蓋範圍Coverage$隨訪期Follow_up,出處Provenance$目的Purpose,出處Provenance$來源Source,出處Provenance$蒐集情境Collection_situation,出處Provenance$週期計算Accrual_periodicity,出處Provenance$延遲Time_lag,存取權Access$交貨時間Delivery_lead_time,存取權Access$法律管轄權Jurisdiction,格式與標準Format_and_standards$詞彙編碼Vocabulary_encoding_scheme,格式與標準Format_and_standards$符合標準Conforms_to,格式與標準Format_and_standards$語言Language,數據效用Data_utility$文檔Documentation$其他文檔與支援Additional_documentation_and_support,數據效用Data_utility$文檔Documentation$數據模式Data_model,數據效用Data_utility$文檔Documentation$數據字典Data_dictionary,數據效用Data_utility$文檔Documentation$出處Provenance,數據效用Data_utility$質量技術Technical_quality$數據質量管理流程Data_Quality_Management_Process,數據效用Data_utility$訪問和提供Access_and_provision$允許的用途Allowable_uses,數據效用Data_utility$訪問和提供Access_and_provision$延遲Time_lag,數據效用Data_utility$訪問和提供Access_and_provision$時效性Timeliness,數據效用Data_utility$價值和利益Value_and_interest$連動性Linkages,數據效用Data_utility$價值和利益Value_and_interest$數據豐富度Data_Enrichments,數據效用Data_utility$涵蓋範圍Coverage$涵蓋的途徑Pathway_coverage,數據效用Data_utility$涵蓋範圍Coverage$隨訪時間Length_of_follow_up,元數據技術Technical_Metadata,商業用途Commercial_use,資料集標題,資料集來源,來源單位Logo,認證徽章,資料集Tag,摘要Abstract,資料集豐富度評分,觀看次數,數位物件識別碼DOI_for_元數據_not_paper,最新資料集發布日期Latest_dataset_release_date,發布頻率Publishing_frequency,創建日期Creation_Date,最後更新時間Last_updated,版本_Version,資源創建者單位Resource_creator,資料集延遲Dataset_time_lag,涵蓋區域Geographical_coverage,年齡區間Typical_age_range,物理樣本Physical_sample_availability,隨訪期Follow_up,途徑Pathway,語義註釋Semantic_Annotations,數據模型Data_models,語言Language,格式Format,目的Purpose,來源Source,蒐集情境Collection_situation,派生分化Derived_from,統計人口Statistical_population,人口描述Population_description,人口規模Population_size,測量屬性Measured_property,觀察日期Observation_date,訪問訊息Access_information,處裡時間Processing_time,訪問請求成本Access_request_cost,訪問環境Access_environment,管轄權Jurisdiction,限制Limitations,要求Requirements,數據控制者Data_Controller,數據處裡者Data_Processor,論文Papers,計畫項目Projects,工具Tools
32,NIHR BIORESOURCE,Acute Glaucoma,Antidepressant,England & Wales,Rna,1 - 10 Years,Other,Electronic Survey,Pharmacy,1 Month Cycle,Variable,1-2 Months,Bd,Other,Cdisc,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,"A documented data management plan covering collection, auditing, and management is available for the dataset",Academic research,Near real-time data,Less than 2 weeks,Existing linkage with reusable or downstream approvals,"The derived fields or enriched data were generated from, or used by, a peer reviewed algorithm",Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,National Joint Registry - Revision Hip Replacement dataset,NIHR BIORESOURCE,../../database.png,../../shield.png,Acute Hospitals,Details of completed (processed) COVID-19 antigen tests booked through the NHS-Digital portals.,68,9968,10.1016/j.envres.2014.07.057,01/08/2050,STATIC,01/11/2021,01/11/2021,1.0.32,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648179/great-britain.html,18-106,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2047 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD42",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53032,"Questionnaire, clinical measurements, cognitive tests",31/03/2047,https://police-health.org.uk/applying-access-resource,2-38 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2046).",https://police-health.org.uk/approved-research,Unrecognised dataset title
33,NIHR CLINICAL RESEARCH NETWORK,Acute Hospitals,Antidiabetic Medications,England and Wales,Saliva,6 - 12 Months,Statutory,Epr,Primary Care,Annual,1-2 Months,1-2 Weeks,Gb,Read,Dicom,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented","Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL",The data includes derived fields or enriched data from a national report,Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,National Joint Registry - Revision Knee Replacement dataset,NIHR CLINICAL RESEARCH NETWORK,../../database.png,../../shield.png,Acute Ischemic Heart Diseases,Details of completed (processed) COVID-19 vaccinations,67,9967,10.1016/j.envres.2014.07.058,01/08/2051,STATIC,01/11/2021,01/11/2021,1.0.33,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648180/great-britain.html,18-107,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2048 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD43",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53033,"Questionnaire, clinical measurements, cognitive tests",31/03/2048,https://police-health.org.uk/applying-access-resource,2-39 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2047).",https://police-health.org.uk/approved-research,Unrecognised dataset title
34,NIHR HEALTH INFORMATICS COLLABORATIVE CARDIOVASCULAR THEME,Acute Ischemic Heart Diseases,Antiepileptic,India,Separately Administered Bioresources,Continuous,Study,Freetext Nlp,Private,Biannual,1-2 Weeks,16 Weeks (8 Weeks For Committee Decision And 8 Weeks For Data Extraction And Processing),Gb-ea,Snomed Ct,Hl7 Ccow,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed",Evidence that the data management plan has been implemented is available,Charitable or non-profit project,1 month,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,,Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,National Joint Registry - Revision Shoulder Replacement dataset,NIHR HEALTH INFORMATICS COLLABORATIVE CARDIOVASCULAR THEME,../../database.png,../../shield.png,Acute Kidney Injury,This is a record of primary care prescriptions that are submitted by community pharmacies in Northern Ireland to the Business Service Organisation for payment.,66,9966,10.1016/j.envres.2014.07.059,01/08/2052,STATIC,01/11/2021,01/11/2021,1.0.34,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648181/great-britain.html,18-108,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2049 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD44",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53034,"Questionnaire, clinical measurements, cognitive tests",31/03/2049,https://police-health.org.uk/applying-access-resource,2-40 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2048).",https://police-health.org.uk/approved-research,Unrecognised dataset title
35,NIHR HEALTH INFORMATICS COLLABORATIVE CRITICAL CARE THEME,Acute Kidney Injury,Antihypertensive Drugs,International,Serum,Other,Trial,Lims,Services,Biweekly,2-4 Weeks,2-4 Weeks,Gb-eaw,Snomed Rt,Hl7 Cda,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,"A documented data management plan covering collection, auditing, and management is available for the dataset",Commercial project,1 year,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,"The data include additional derived fields, or enriched data",Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,Neovascular age related macular degeneration at University Hospitals Birmingham,NIHR HEALTH INFORMATICS COLLABORATIVE CRITICAL CARE THEME,../../database.png,../../shield.png,Acute Medical Care,"The dataset is a longitudinal dataset consisting of eye images and retinopathy grades from those who are screened for diabetic retinopathy in the Birmingham, Solihull and Black Country DR screening program.",65,9965,10.1016/j.envres.2014.07.060,01/08/2053,STATIC,01/11/2021,01/11/2021,1.0.35,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648182/great-britain.html,18-109,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2050 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD45",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53035,"Questionnaire, clinical measurements, cognitive tests",31/03/2050,https://police-health.org.uk/applying-access-resource,2-41 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2049).",https://police-health.org.uk/approved-research,Unrecognised dataset title
36,NIHR HEALTH INFORMATICS COLLABORATIVE RENAL TRANSPLANTATION THEME,Acute Medical Care,Antiplatelet Agents,Lambeth,Swabs,> 10 Years,Administrative,Machine Generated,Accident An Emergency,Continuous,2-6 Months,2-6 Months,Gb-eng,Dm+d,Hl7 Fhir,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,"Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Academic research,Near real-time data,Less than 2 weeks,Existing linkage with reusable or downstream approvals,"The data include additional derived fields, or enriched data used by other available data sources",Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,Northern Ireland Regional Maternity system (NIMATS),NIHR HEALTH INFORMATICS COLLABORATIVE RENAL TRANSPLANTATION THEME,../../database.png,../../shield.png,Acute Medical Unit,"The Airwave Health Monitoring Study (AHMS) is a long-term occupational observational cohort study and tissue bank following up the health of c. 53,000 police officers and staff across Great Britain.",64,9964,10.1016/j.envres.2014.07.061,01/08/2054,STATIC,01/11/2021,01/11/2021,1.0.36,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648183/great-britain.html,18-110,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2051 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD46",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53036,"Questionnaire, clinical measurements, cognitive tests",31/03/2051,https://police-health.org.uk/applying-access-resource,2-42 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2050).",https://police-health.org.uk/approved-research,Unrecognised dataset title
37,NIHR HEALTH INFORMATICS COLLABORATIVE VIRAL HEPATITIS THEME,Acute Medical Unit,Antiplatelets,Lewisham,Tissue,0 - 6 Months,Audit,Other,Accident And Emergency,Daily,6 Months Plus,Http://opcrd.co.uk/opcrd-data-request/,Gb-gb,Hpo,Https://www.cogconsortium.uk/protocols/,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented",Evidence that the data management plan has been implemented is available,Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL","The derived fields or enriched data were generated from, or used by, a peer reviewed algorithm",Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,Patient Medical Card Registration (NI),NIHR HEALTH INFORMATICS COLLABORATIVE VIRAL HEPATITIS THEME,../../database.png,../../shield.png,Acute Medicine,CSDS sets out national definitions for the extraction of data about children and adults: • personal and demographic • social and personal circumstances • breastfeeding and nutrition • care event and screening activity • diagnoses • scored assessments,63,9963,10.1016/j.envres.2014.07.062,01/08/2055,STATIC,01/11/2021,01/11/2021,1.0.37,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648184/great-britain.html,18-111,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2052 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD47",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53037,"Questionnaire, clinical measurements, cognitive tests",31/03/2052,https://police-health.org.uk/applying-access-resource,2-43 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2051).",https://police-health.org.uk/approved-research,Unrecognised dataset title
38,NIHR NOTTINGHAM BIOMEDICAL RESEARCH CENTRE,Acute Medicine,Antipsychotic,London,Urine,1 - 10 Years,Care,Other Information System,Clinic,In Progress,Less 1 Week,Less 1 Week,Gb-gbn,Https://www.cogconsortium.uk/protocols/,I2b2,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed","A documented data management plan covering collection, auditing, and management is available for the dataset",Charitable or non-profit project,1 month,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,The data includes derived fields or enriched data from a national report,Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,SGSS data for Qresearch,NIHR NOTTINGHAM BIOMEDICAL RESEARCH CENTRE,../../database.png,../../shield.png,A&e,NHS Digital’s fortnightly collection of GP data will provide data to support vital planning and research into coronavirus (COVID-19).,62,9962,10.1016/j.envres.2014.07.063,01/08/2056,STATIC,01/11/2021,01/11/2021,1.0.38,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648185/great-britain.html,18-112,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2053 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD48",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53038,"Questionnaire, clinical measurements, cognitive tests",31/03/2053,https://police-health.org.uk/applying-access-resource,2-44 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2052).",https://police-health.org.uk/approved-research,Unrecognised dataset title
39,OFFICE FOR NATIONAL STATISTICS,Acute Care,Antipsychotics (P13),London and Luton,Whole Blood,6 - 12 Months,Disease Registry,Paper Based,Community,Irregular,More 6 Months,More 6 Months,Gb-nir,Icd10,Local,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,"Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Commercial project,1 year,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,,Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,COVID-19 Vaccination Status,OFFICE FOR NATIONAL STATISTICS,../../database.png,../../shield.png,A&e Department,Patient-level data set that captures information about people in contact with services commissioned as part of the adult Improving Access to Psychological Services (IAPT) programme.,61,9961,10.1016/j.envres.2014.07.064,01/08/2057,STATIC,01/11/2021,01/11/2021,1.0.39,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648186/great-britain.html,18-113,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2054 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD49",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53039,"Questionnaire, clinical measurements, cognitive tests",31/03/2054,https://police-health.org.uk/applying-access-resource,2-45 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2053).",https://police-health.org.uk/approved-research,Unrecognised dataset title
40,OPTIMUM PATIENT CARE,Acute Care Process,Anxiety,Malaysia,Not Available,Continuous,Financial,Electronic Survey,Home,Monthly,No Timelag,None,Gb-sct,Icd9,Locally Negotiated Standard,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,Evidence that the data management plan has been implemented is available,Academic research,Near real-time data,Less than 2 weeks,Existing linkage with reusable or downstream approvals,"The data include additional derived fields, or enriched data",Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,CPRD Cardiovascular Disease Synthetic Dataset,OPTIMUM PATIENT CARE,../../database.png,../../shield.png,A&e Waiting Time,Details of completed (processed) COVID-19 antigen tests carried out in NHS hospitals in Northern Ireland.,60,9960,10.1016/j.envres.2014.07.065,01/08/2058,STATIC,01/11/2021,01/11/2021,1.0.40,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648187/great-britain.html,18-114,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2055 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD50",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53040,"Questionnaire, clinical measurements, cognitive tests",31/03/2055,https://police-health.org.uk/applying-access-resource,2-46 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2054).",https://police-health.org.uk/approved-research,Unrecognised dataset title
41,OXFORD RESEARCH ARCHIVE,Acute Compartment Syndrome,Anxiety Disorder,Midlands,Other,Other,Other,Epr,In-patients,Other,Not Applicable,Not Applicable,Gb-wls,Icdo3,Nhs Data Dictionary,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented","A documented data management plan covering collection, auditing, and management is available for the dataset",Student / educational project,1 week,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL","The data include additional derived fields, or enriched data used by other available data sources",Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,Covid-19 UK Non-hospital Antigen Testing Results,OXFORD RESEARCH ARCHIVE,../../database.png,../../shield.png,Abdominal,Details of completed (processed) COVID-19 antigen tests booked through the NHS-Digital portals.,59,9959,10.1016/j.envres.2014.07.066,01/08/2059,STATIC,01/11/2021,01/11/2021,1.0.41,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648188/great-britain.html,18-115,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2056 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD51",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53041,"Questionnaire, clinical measurements, cognitive tests",31/03/2056,https://police-health.org.uk/applying-access-resource,2-47 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2055).",https://police-health.org.uk/approved-research,Unrecognised dataset title
